Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
00001,50816.75,25200s (~7 hours),18000s (~5 hours),10800s (~3 hours)
00002,41386.15,25200s (~7 hours),14400s (~4 hours),7200s (~2 hours)
00003,39994.29999999999,14400s (~4 hours),14400s (~4 hours),3600s (~1 hours)
00004,44174.25,25200s (~7 hours),16200s (~4.5 hours),10800s (~3 hours)
00005,42907.75,25200s (~7 hours),19800s (~5.5 hours),7200s (~2 hours)
00006,67285.4,23400s (~6.5 hours),18000s (~5 hours),12600s (~3.5 hours)
00007,63132.35,27000s (~7.5 hours),21600s (~6 hours),9000s (~2.5 hours)
00008,27243.45,19800s (~5.5 hours),14400s (~4 hours),5400s (~1.5 hours)
00009,59319.55,25200s (~7 hours),19800s (~5.5 hours),10800s (~3 hours)
00010,49194.9,25200s (~7 hours),21600s (~6 hours),9000s (~2.5 hours)
00011,37070.55,21600s (~6 hours),16200s (~4.5 hours),7200s (~2 hours)
00012,49027.4,19800s (~5.5 hours),14400s (~4 hours),12600s (~3.5 hours)
00013,55692.2,28800s (~8 hours),19800s (~5.5 hours),7200s (~2 hours)
00014,33806.2,21600s (~6 hours),16200s (~4.5 hours),3600s (~1 hours)
00015,34325.3,19800s (~5.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00016,38839,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00017,45321.75,23400s (~6.5 hours),18000s (~5 hours),9000s (~2.5 hours)
00018,42844.6,25200s (~7 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00019,34063.85,27000s (~7.5 hours),23400s (~6.5 hours),1800s (~30 minutes)
00020,46433.65,25200s (~7 hours),18000s (~5 hours),7200s (~2 hours)
00021,45693.95,21600s (~6 hours),18000s (~5 hours),9000s (~2.5 hours)
00022,65989.75,23400s (~6.5 hours),19800s (~5.5 hours),10800s (~3 hours)
00023,43421.85,21600s (~6 hours),21600s (~6 hours),5400s (~1.5 hours)
00024,62572.75,18000s (~5 hours),16200s (~4.5 hours),12600s (~3.5 hours)
00025,39288.95,19800s (~5.5 hours),16200s (~4.5 hours),7200s (~2 hours)
00026,63129.2,25200s (~7 hours),19800s (~5.5 hours),10800s (~3 hours)
00027,46277.95,30600s (~8.5 hours),21600s (~6 hours),7200s (~2 hours)
00028,63504.7,21600s (~6 hours),19800s (~5.5 hours),12600s (~3.5 hours)
