Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0001,51339.25,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0002,50313.04999999999,18000s (~5 hours),16200s (~4.5 hours),7200s (~2 hours)
0003,36239.2,19800s (~5.5 hours),14400s (~4 hours),7200s (~2 hours)
0004,34710.4,23400s (~6.5 hours),16200s (~4.5 hours),3600s (~1 hours)
0005,37544.3,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0006,55097.1,21600s (~6 hours),18000s (~5 hours),7200s (~2 hours)
0007,42508.8,23400s (~6.5 hours),16200s (~4.5 hours),3600s (~1 hours)
0008,42195.65,19800s (~5.5 hours),14400s (~4 hours),3600s (~1 hours)
0009,47328.79999999999,18000s (~5 hours),16200s (~4.5 hours),7200s (~2 hours)
0010,51563.15,19800s (~5.5 hours),18000s (~5 hours),7200s (~2 hours)
0011,46842.75,25200s (~7 hours),23400s (~6.5 hours),5400s (~1.5 hours)
0012,45846.4,25200s (~7 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0013,37043.65,19800s (~5.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0014,49870.6,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0015,42821.15,25200s (~7 hours),21600s (~6 hours),5400s (~1.5 hours)
0016,46915.8,23400s (~6.5 hours),21600s (~6 hours),7200s (~2 hours)
0017,44889.55,25200s (~7 hours),21600s (~6 hours),3600s (~1 hours)
0018,42637.25,25200s (~7 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0019,55084.54999999999,21600s (~6 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0020,49494.1,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0021,56847.29999999999,27000s (~7.5 hours),21600s (~6 hours),7200s (~2 hours)
0022,40617.35,25200s (~7 hours),25200s (~7 hours),3600s (~1 hours)
0023,54356.5,23400s (~6.5 hours),23400s (~6.5 hours),10800s (~3 hours)
0024,59713.4,25200s (~7 hours),23400s (~6.5 hours),7200s (~2 hours)
0025,33338.6,21600s (~6 hours),16200s (~4.5 hours),3600s (~1 hours)
0026,37814.05,25200s (~7 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0027,56865.6,25200s (~7 hours),19800s (~5.5 hours),7200s (~2 hours)
0028,36887.4,18000s (~5 hours),12600s (~3.5 hours),9000s (~2.5 hours)
0029,50651,25200s (~7 hours),19800s (~5.5 hours),10800s (~3 hours)
0030,45542.65,27000s (~7.5 hours),21600s (~6 hours),7200s (~2 hours)
0031,56077.6,21600s (~6 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0032,57908.8,25200s (~7 hours),25200s (~7 hours),7200s (~2 hours)
0033,55101.65,25200s (~7 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0034,47333.95,23400s (~6.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0035,39150.6,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0036,45344.9,27000s (~7.5 hours),21600s (~6 hours),5400s (~1.5 hours)
0037,43841.8,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0038,57577.95,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
0039,53171.7,27000s (~7.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0040,63745.65,25200s (~7 hours),21600s (~6 hours),9000s (~2.5 hours)
0041,44633.7,25200s (~7 hours),21600s (~6 hours),7200s (~2 hours)
0042,50397.6,25200s (~7 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0043,60287.4,27000s (~7.5 hours),18000s (~5 hours),9000s (~2.5 hours)
0044,52676.35,27000s (~7.5 hours),25200s (~7 hours),7200s (~2 hours)
0045,58471.85,23400s (~6.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0046,31311.25,23400s (~6.5 hours),19800s (~5.5 hours),1800s (~30 minutes)
0047,33330.6,21600s (~6 hours),18000s (~5 hours),3600s (~1 hours)
0048,34782.15,19800s (~5.5 hours),14400s (~4 hours),5400s (~1.5 hours)
0049,36735.15,18000s (~5 hours),14400s (~4 hours),7200s (~2 hours)
0050,54300.25,23400s (~6.5 hours),21600s (~6 hours),5400s (~1.5 hours)
0051,39906.1,27000s (~7.5 hours),21600s (~6 hours),1800s (~30 minutes)
0052,42818.35,21600s (~6 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0053,40358.15,21600s (~6 hours),14400s (~4 hours),7200s (~2 hours)
