Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0001,51339.25,23400,18000,5400
0002,50313.04999999999,18000,16200,7200
0003,36239.2,19800,14400,7200
0004,34710.4,23400,16200,3600
0005,37544.3,23400,18000,5400
0006,55097.1,21600,18000,7200
0007,42508.8,23400,16200,3600
0008,42195.65,19800,14400,3600
0009,47328.79999999999,18000,16200,7200
0010,51563.15,19800,18000,7200
0011,46842.75,25200,23400,5400
0012,45846.4,25200,19800,9000
0013,37043.65,19800,18000,5400
0014,49870.6,23400,19800,5400
0015,42821.15,25200,21600,5400
0016,46915.8,23400,21600,7200
0017,44889.55,25200,21600,3600
0018,42637.25,25200,19800,5400
0019,55084.54999999999,21600,19800,9000
0020,49494.1,23400,18000,5400
0021,56847.29999999999,27000,21600,7200
0022,40617.35,25200,25200,3600
0023,54356.5,23400,23400,10800
0024,59713.4,25200,23400,7200
0025,33338.6,21600,16200,3600
0026,37814.05,25200,19800,5400
0027,56865.6,25200,19800,7200
0028,36887.4,18000,12600,9000
0029,50651,25200,19800,10800
0030,45542.65,27000,21600,7200
0031,56077.6,21600,19800,9000
0032,57908.8,25200,25200,7200
0033,55101.65,25200,19800,9000
0034,47333.95,23400,19800,9000
0035,39150.6,23400,18000,5400
0036,45344.9,27000,21600,5400
0037,43841.8,23400,19800,5400
0038,57577.95,23400,19800,7200
0039,53171.7,27000,19800,5400
0040,63745.65,25200,21600,9000
0041,44633.7,25200,21600,7200
0042,50397.6,25200,19800,5400
0043,60287.4,27000,18000,9000
0044,52676.35,27000,25200,7200
0045,58471.85,23400,19800,9000
0046,31311.25,23400,19800,1800
0047,33330.6,21600,18000,3600
0048,34782.15,19800,14400,5400
0049,36735.15,18000,14400,7200
0050,54300.25,23400,21600,5400
0051,39906.1,27000,21600,1800
0052,42818.35,21600,16200,5400
0053,40358.15,21600,14400,7200
0054,43011.1,25200,18000,7200
0055,56575.2,27000,23400,9000
0056,52859.9,21600,18000,7200
0057,48017.35,25200,19800,3600
0058,43903.45,21600,12600,7200
0059,34000.85,18000,14400,5400
0060,44672.75,23400,19800,7200
0061,55226.85,19800,18000,9000
0062,40648.6,21600,18000,5400
0063,41975,18000,16200,7200
0064,36382.35,21600,14400,5400
0065,35313.9,21600,16200,5400
0066,40083.55,21600,16200,7200
0067,53505.95,23400,18000,7200
0068,50505.75,21600,18000,7200
0069,39709.65,19800,18000,5400
0070,50369.85,30600,27000,3600
0071,41028.45,23400,19800,5400
0072,51508.1,23400,23400,9000
0073,38226.65,25200,21600,3600
0074,40237.3,21600,18000,7200
0075,45816.45,21600,19800,5400
0076,60170.6,28800,25200,9000
0077,48335.25,19800,14400,7200
0078,30060.05,21600,14400,3600
0079,54677.04999999999,25200,21600,5400
0080,40157.35,23400,18000,5400
0081,41259.2,25200,18000,5400
0082,51820.15,21600,21600,10800
0083,60893.04999999999,23400,18000,10800
0084,50357.45,21600,19800,9000
0085,40285.95,23400,18000,5400
0086,47863.2,21600,21600,3600
0087,45314.85,21600,16200,5400
0088,47184.05,23400,19800,9000
0089,59926.15,27000,23400,7200
0090,46595.9,23400,18000,7200
0091,43653.2,28800,23400,3600
0092,44358.1,25200,19800,5400
0093,47801.2,25200,21600,7200
0094,59531.9,27000,19800,9000
0095,44918.5,21600,18000,3600
0096,59072.45,21600,19800,9000
0097,35299.65,25200,19800,3600
0098,33953.9,19800,16200,5400
0099,64372.54999999999,25200,21600,9000
0100,55609.15,25200,18000,9000
0101,41027.35,23400,19800,5400
0102,37791.9,21600,16200,7200
0103,36822.75,21600,18000,5400
0104,39446.8,23400,21600,3600
0105,52937.04999999999,19800,16200,7200
0106,55233.45,23400,21600,5400
0107,35241.3,19800,16200,5400
0108,47270.7,25200,19800,9000
0109,53705.85,21600,18000,7200
0110,39438.3,18000,14400,3600
