Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0001,137806.94999999998,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0002,110744.45,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0003,140240.7,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0004,150936.3,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0005,117213.8,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0006,119958.5,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0007,103065.8,39600s (~11 hours),39600s (~11 hours),16200s (~4.5 hours)
0008,135054.5,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0009,121774.85,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0010,151793.55,39600s (~11 hours),39600s (~11 hours),30600s (~8.5 hours)
0011,121453.3,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0012,130427.8,39600s (~11 hours),39600s (~11 hours),30600s (~8.5 hours)
0013,122263.9,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0014,144324.9,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0015,135986.75,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0016,126648.5,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0017,126511.75,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0018,119067.95,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0019,126662.5,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0020,117014.2,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0021,135469.5,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0022,120108.34999999998,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0023,87174.3,39600s (~11 hours),39600s (~11 hours),16200s (~4.5 hours)
0024,89376.45,39600s (~11 hours),39600s (~11 hours),16200s (~4.5 hours)
0025,141232.75,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0026,117342.25,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0027,92467.4,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0028,132011.65,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0029,130330.5,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0030,144420.8,39600s (~11 hours),39600s (~11 hours),30600s (~8.5 hours)
0031,111556.5,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0032,115060.5,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0033,121578.09999999998,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0034,134485.65,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0035,116201.4,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0036,164770.2,39600s (~11 hours),39600s (~11 hours),34200s (~9.5 hours)
0037,119251.65,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0038,132629.45,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0039,116786.45,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0040,115799.1,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0041,141395.4,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0042,122604.2,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0043,161754.6,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0044,127745.09999999998,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0045,129450.95,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0046,112767,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0047,122967.3,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0048,131503.05,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0049,113255.9,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0050,119908.55,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0051,133277,39600s (~11 hours),39600s (~11 hours),30600s (~8.5 hours)
0052,133287.8,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0053,126431.2,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0054,108833.25,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0055,148761.95,39600s (~11 hours),39600s (~11 hours),32400s (~9 hours)
0056,109354,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0057,113211.15,39600s (~11 hours),39600s (~11 hours),18000s (~5 hours)
0058,108086.09999999998,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0059,143552.25,39600s (~11 hours),39600s (~11 hours),34200s (~9.5 hours)
0060,129561.3,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0061,101357.65,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0062,130078.9,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0063,111350.1,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0064,128015.4,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0065,125993.95,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
