Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
00001,32605.25,28800s (~8 hours),21600s (~6 hours),3600s (~1 hours)
00002,49403.15,23400s (~6.5 hours),21600s (~6 hours),9000s (~2.5 hours)
00003,67621.95,28800s (~8 hours),27000s (~7.5 hours),9000s (~2.5 hours)
00004,35953.35,23400s (~6.5 hours),16200s (~4.5 hours),7200s (~2 hours)
00005,34740.9,21600s (~6 hours),12600s (~3.5 hours),7200s (~2 hours)
00006,42016.5,25200s (~7 hours),21600s (~6 hours),5400s (~1.5 hours)
00007,56141.15,21600s (~6 hours),18000s (~5 hours),9000s (~2.5 hours)
00008,39215.95,23400s (~6.5 hours),21600s (~6 hours),5400s (~1.5 hours)
00009,46727.3,23400s (~6.5 hours),21600s (~6 hours),7200s (~2 hours)
00010,48501.6,25200s (~7 hours),25200s (~7 hours),7200s (~2 hours)
00011,44538.3,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00012,57320.65,28800s (~8 hours),21600s (~6 hours),10800s (~3 hours)
00013,70476.5,23400s (~6.5 hours),21600s (~6 hours),10800s (~3 hours)
00014,41193.4,25200s (~7 hours),18000s (~5 hours),5400s (~1.5 hours)
00015,59274.04999999999,25200s (~7 hours),19800s (~5.5 hours),7200s (~2 hours)
00016,34888.65,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
00017,47189.5,27000s (~7.5 hours),23400s (~6.5 hours),5400s (~1.5 hours)
00018,55583.1,25200s (~7 hours),19800s (~5.5 hours),7200s (~2 hours)
00019,31492.35,19800s (~5.5 hours),16200s (~4.5 hours),3600s (~1 hours)
00020,55643.5,28800s (~8 hours),25200s (~7 hours),9000s (~2.5 hours)
00021,43737.29999999999,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00022,54343.9,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00023,45800.6,27000s (~7.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00024,50823.35,23400s (~6.5 hours),18000s (~5 hours),10800s (~3 hours)
00025,49297.6,23400s (~6.5 hours),21600s (~6 hours),7200s (~2 hours)
00026,31043.55,19800s (~5.5 hours),18000s (~5 hours),5400s (~1.5 hours)
00027,44008.25,19800s (~5.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00028,45622.5,19800s (~5.5 hours),18000s (~5 hours),9000s (~2.5 hours)
00029,62342.2,27000s (~7.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00030,27119.85,19800s (~5.5 hours),14400s (~4 hours),3600s (~1 hours)
00031,63555.7,23400s (~6.5 hours),19800s (~5.5 hours),10800s (~3 hours)
00032,68738.4,25200s (~7 hours),21600s (~6 hours),9000s (~2.5 hours)
00033,64093.7,25200s (~7 hours),21600s (~6 hours),9000s (~2.5 hours)
00034,37164.75,25200s (~7 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00035,38943.25,23400s (~6.5 hours),16200s (~4.5 hours),7200s (~2 hours)
00036,40587.05,23400s (~6.5 hours),14400s (~4 hours),9000s (~2.5 hours)
00037,39881.7,21600s (~6 hours),19800s (~5.5 hours),3600s (~1 hours)
00038,44632.2,25200s (~7 hours),23400s (~6.5 hours),7200s (~2 hours)
00039,67289.95,27000s (~7.5 hours),25200s (~7 hours),7200s (~2 hours)
00040,44778.04999999999,19800s (~5.5 hours),16200s (~4.5 hours),7200s (~2 hours)
00041,37765.5,21600s (~6 hours),14400s (~4 hours),9000s (~2.5 hours)
00042,57596.6,19800s (~5.5 hours),16200s (~4.5 hours),9000s (~2.5 hours)
00043,48005.1,19800s (~5.5 hours),14400s (~4 hours),10800s (~3 hours)
00044,37540.5,25200s (~7 hours),18000s (~5 hours),7200s (~2 hours)
00045,33770.2,21600s (~6 hours),16200s (~4.5 hours),3600s (~1 hours)
00046,46566.04999999999,23400s (~6.5 hours),21600s (~6 hours),7200s (~2 hours)
00047,34770,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
