Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
00001,32605.25,28800,21600,3600
00002,49403.15,23400,21600,9000
00003,67621.95,28800,27000,9000
00004,35953.35,23400,16200,7200
00005,34740.9,21600,12600,7200
00006,42016.5,25200,21600,5400
00007,56141.15,21600,18000,9000
00008,39215.95,23400,21600,5400
00009,46727.3,23400,21600,7200
00010,48501.6,25200,25200,7200
00011,44538.3,23400,19800,7200
00012,57320.65,28800,21600,10800
00013,70476.5,23400,21600,10800
00014,41193.4,25200,18000,5400
00015,59274.04999999999,25200,19800,7200
00016,34888.65,23400,18000,5400
00017,47189.5,27000,23400,5400
00018,55583.1,25200,19800,7200
00019,31492.35,19800,16200,3600
00020,55643.5,28800,25200,9000
00021,43737.29999999999,23400,19800,7200
00022,54343.9,23400,19800,7200
00023,45800.6,27000,19800,7200
00024,50823.35,23400,18000,10800
00025,49297.6,23400,21600,7200
00026,31043.55,19800,18000,5400
00027,44008.25,19800,19800,9000
00028,45622.5,19800,18000,9000
00029,62342.2,27000,19800,9000
00030,27119.85,19800,14400,3600
00031,63555.7,23400,19800,10800
00032,68738.4,25200,21600,9000
00033,64093.7,25200,21600,9000
00034,37164.75,25200,19800,5400
00035,38943.25,23400,16200,7200
00036,40587.05,23400,14400,9000
00037,39881.7,21600,19800,3600
00038,44632.2,25200,23400,7200
00039,67289.95,27000,25200,7200
00040,44778.04999999999,19800,16200,7200
00041,37765.5,21600,14400,9000
00042,57596.6,19800,16200,9000
00043,48005.1,19800,14400,10800
00044,37540.5,25200,18000,7200
00045,33770.2,21600,16200,3600
00046,46566.04999999999,23400,21600,7200
00047,34770,23400,19800,5400
00048,45843.95,27000,19800,7200
00049,68873.7,25200,25200,12600
00050,37862.54999999999,21600,14400,7200
00051,43817.9,27000,23400,5400
00052,39219.4,23400,19800,5400
00053,57557.65,21600,21600,7200
00054,52932.5,21600,19800,7200
00055,50406.85,27000,19800,9000
00056,54419.9,21600,19800,10800
00057,64164.95,23400,21600,10800
00058,28571.55,21600,14400,3600
00059,78220.7,25200,23400,9000
00060,36098.8,23400,21600,5400
00061,51027.35,28800,23400,7200
00062,40190.7,25200,19800,7200
00063,68419.1,27000,21600,12600
00064,39948.85,23400,21600,5400
00065,46576.75,23400,19800,7200
00066,37403.2,19800,12600,5400
00067,42387.65,27000,21600,5400
00068,58469.95,25200,21600,10800
00069,59858.85,23400,18000,9000
00070,44166.7,23400,19800,5400
00071,33547.8,23400,21600,3600
00072,42780.35,25200,21600,5400
00073,47344.75,27000,19800,7200
00074,39056.6,23400,21600,7200
00075,72521.4,23400,19800,12600
00076,48973.75,28800,27000,5400
00077,54985.35,21600,18000,7200
00078,53294.25,23400,14400,9000
00079,66424.7,18000,16200,10800
00080,70312.65,27000,23400,9000
00081,35153.8,23400,16200,5400
00082,49981.6,27000,21600,7200
00083,39982.79999999999,27000,18000,5400
00084,48860.2,27000,21600,7200
00085,47723.29999999999,28800,23400,5400
00086,34327.55,19800,14400,5400
00087,44822.7,21600,18000,7200
00088,40706.95,23400,16200,7200
00089,43225.2,21600,16200,7200
00090,59999.85,25200,21600,10800
00091,61086.29999999999,30600,28800,7200
00092,37527.9,23400,18000,5400
00093,44717.4,19800,18000,9000
00094,40204.9,23400,14400,7200
00095,33885.7,21600,16200,5400
00096,46522.85,27000,25200,5400
00097,42709.5,21600,19800,7200
00098,58706.1,27000,21600,10800
00099,44621.7,21600,16200,5400
00100,50798.8,21600,18000,10800
00101,37367.2,23400,18000,3600
00102,53649,25200,19800,7200
00103,54769.25,28800,23400,3600
00104,58629.6,23400,19800,7200
00105,41304.85,28800,23400,5400
00106,38518.55,25200,21600,3600
00107,36609.25,23400,18000,5400
00108,34646.9,23400,16200,5400
00109,32673.5,19800,12600,7200
00110,37141.6,21600,18000,7200
00111,60162.54999999999,27000,25200,9000
00112,35202.55,18000,16200,5400
00113,42661.5,25200,21600,5400
00114,45149.3,27000,19800,7200
00115,41833.7,25200,19800,5400
00116,34585.15,21600,14400,5400
00117,37783.85,21600,18000,5400
00118,41073.95000000001,23400,19800,7200
00119,41006.15,27000,19800,5400
00120,55638.5,23400,19800,9000
00121,53006.54999999999,25200,21600,7200
00122,59009.65,25200,19800,9000
00123,53334.6,25200,23400,7200
00124,51274.35,27000,25200,7200
00125,64562.4,27000,23400,9000
00126,43066.04999999999,21600,18000,9000
00127,58903.04999999999,18000,18000,10800
00128,37968.25,23400,19800,5400
00129,64909.7,25200,21600,10800
00130,54122.1,21600,16200,12600
00131,41852.7,23400,19800,7200
00132,50718.25,21600,18000,9000
00133,46599.9,23400,21600,7200
00134,36391.55,21600,16200,5400
00135,51898.04999999999,25200,21600,9000
00136,42194,23400,19800,5400
00137,48959.29999999999,25200,21600,7200
00138,35961.9,23400,21600,5400
00139,35240.35,23400,16200,7200
00140,56823.65,25200,23400,7200
00141,41136.2,21600,18000,7200
