Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
00001,50816.75,25200,18000,10800
00002,41386.15,25200,14400,7200
00003,39994.29999999999,14400,14400,3600
00004,44174.25,25200,16200,10800
00005,42907.75,25200,19800,7200
00006,67285.4,23400,18000,12600
00007,63132.35,27000,21600,9000
00008,27243.45,19800,14400,5400
00009,59319.55,25200,19800,10800
00010,49194.9,25200,21600,9000
00011,37070.55,21600,16200,7200
00012,49027.4,19800,14400,12600
00013,55692.2,28800,19800,7200
00014,33806.2,21600,16200,3600
00015,34325.3,19800,16200,5400
00016,38839,23400,19800,5400
00017,45321.75,23400,18000,9000
00018,42844.6,25200,19800,5400
00019,34063.85,27000,23400,1800
00020,46433.65,25200,18000,7200
00021,45693.95,21600,18000,9000
00022,65989.75,23400,19800,10800
00023,43421.85,21600,21600,5400
00024,62572.75,18000,16200,12600
00025,39288.95,19800,16200,7200
00026,63129.2,25200,19800,10800
00027,46277.95,30600,21600,7200
00028,63504.7,21600,19800,12600
00029,35555.35,23400,16200,5400
00030,41716.55,25200,18000,7200
00031,51700.4,21600,18000,10800
00032,59767.05,21600,19800,12600
00033,50396.95,19800,14400,7200
00034,79324.4,28800,25200,14400
00035,52913.1,21600,16200,10800
00036,54493.75,28800,25200,7200
00037,61743.79999999999,21600,19800,9000
00038,58256.6,23400,21600,9000
00039,36255.3,21600,19800,5400
00040,47771.29999999999,23400,23400,3600
00041,62621.4,27000,21600,10800
00042,47253.55,25200,19800,9000
00043,63104.85,28800,19800,10800
00044,41672.9,19800,18000,7200
00045,51455.2,25200,21600,5400
00046,37729.4,19800,18000,5400
00047,45172.2,23400,18000,9000
00048,37173,25200,19800,3600
00049,47795.54999999999,21600,16200,9000
00050,42734.45,21600,18000,9000
00051,49039.2,23400,23400,7200
00052,73885.45,23400,21600,9000
00053,62736.95,23400,19800,10800
00054,40443.7,23400,18000,9000
00055,52442.95,27000,23400,9000
00056,42426.85,25200,19800,7200
00057,49553.6,27000,21600,7200
00058,52826.65,21600,19800,12600
00059,67413.3,25200,21600,10800
00060,55909.95,23400,21600,9000
00061,59356.35,25200,21600,9000
00062,54605.4,25200,18000,7200
00063,52198.45,21600,19800,10800
00064,65865.8,27000,27000,9000
00065,61353.899999999994,27000,21600,10800
00066,61656.2,23400,23400,7200
00067,54859.79999999999,19800,18000,9000
00068,37331.65,28800,19800,5400
00069,75732.15,23400,21600,10800
00070,35525.25,23400,19800,5400
00071,36973.2,23400,19800,5400
00072,61763.45,25200,23400,9000
00073,46681.3,19800,19800,7200
00074,46662.8,18000,16200,9000
00075,59107,23400,19800,9000
00076,27457.8,21600,12600,5400
00077,30592.05,27000,16200,5400
00078,39344.8,16200,16200,7200
00079,43272.35,23400,16200,9000
00080,59815.7,30600,25200,10800
00081,36758.9,21600,19800,5400
00082,40799.7,21600,16200,9000
00083,41829.3,21600,16200,9000
00084,57285.3,27000,25200,7200
00085,40625.25,23400,19800,7200
00086,43347,23400,19800,9000
00087,67919.15,23400,21600,7200
00088,63815.75,28800,27000,9000
00089,46343.5,23400,21600,1800
00090,55637.85,25200,23400,5400
00091,46182.4,23400,19800,7200
00092,67176,21600,21600,9000
00093,35357.45,25200,18000,5400
00094,29363.35,21600,14400,1800
00095,61395.5,23400,21600,9000
00096,35622.8,16200,12600,9000
00097,39000.5,25200,16200,5400
00098,44623.05,28800,19800,9000
00099,44343.55,19800,18000,9000
00100,47611.75,21600,16200,10800
00101,54958.65,27000,19800,7200
00102,59513.29999999999,27000,21600,9000
00103,64654.9,25200,21600,10800
00104,54136.5,28800,19800,7200
00105,39319.55,23400,16200,7200
00106,55751.95,27000,23400,9000
00107,43894.1,27000,19800,3600
00108,46241.95,30600,19800,9000
00109,41319.5,19800,19800,9000
00110,34732.5,19800,18000,3600
00111,26683.3,25200,18000,1800
00112,50543.9,23400,23400,5400
00113,42111.55,27000,19800,7200
00114,63287.29999999999,27000,23400,10800
00115,65872.95,23400,19800,12600
00116,57060.7,25200,18000,9000
00117,40522.65,23400,19800,5400
00118,47400.5,21600,19800,7200
00119,55186.2,27000,23400,9000
00120,31863.25,23400,18000,1800
00121,42407.5,25200,19800,5400
00122,44127.9,23400,19800,7200
00123,41708.29999999999,23400,23400,5400
00124,56314.35,23400,21600,7200
00125,39863.85,23400,19800,5400
00126,42990.6,21600,16200,9000
00127,45672.4,21600,19800,9000
00128,54984.9,27000,25200,9000
00129,38842.2,25200,14400,7200
00130,51816.3,21600,18000,5400
00131,39290.15,23400,16200,9000
00132,41617.95,18000,14400,9000
00133,65290.95,25200,21600,9000
00134,57997.9,23400,19800,10800
00135,60988.75,25200,21600,9000
00136,79876.05,25200,21600,10800
00137,35977.15,23400,19800,1800
00138,62792.1,23400,21600,14400
00139,43952.05,30600,25200,3600
00140,43802,25200,19800,7200
00141,44205.35,27000,21600,5400
00142,76663.09999999998,25200,21600,12600
00143,47741.15,21600,18000,9000
00144,43281.1,23400,19800,7200
00145,34341.65,14400,14400,7200
00146,51039.65,23400,21600,10800
00147,35975.65,19800,16200,5400
00148,41580.29999999999,19800,16200,7200
00149,46475.04999999999,27000,16200,9000
00150,35123.3,21600,18000,3600
00151,35296.65,21600,18000,5400
00152,31141.45,25200,18000,1800
00153,44798.75,25200,21600,9000
00154,68167.55,21600,19800,9000
00155,36057.95,18000,14400,9000
00156,36633.25,23400,16200,7200
00157,55732.7,28800,21600,10800
00158,45873.5,23400,18000,5400
00159,31824.25,23400,21600,1800
00160,47524.70000000001,25200,23400,7200
00161,36013.85,21600,16200,5400
00162,48587.95,25200,18000,9000
00163,41915.6,23400,18000,7200
00164,45727.9,19800,18000,7200
00165,39874.85,19800,18000,7200
00166,43088.95,25200,18000,7200
00167,49617.79999999999,28800,23400,3600
00168,38033.95,18000,14400,7200
00169,43857.1,23400,16200,5400
