Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0001,137806.94999999998,39600,39600,25200
0002,110744.45,39600,39600,23400
0003,140240.7,39600,39600,27000
0004,150936.3,39600,39600,23400
0005,117213.8,39600,39600,23400
0006,119958.5,39600,39600,28800
0007,103065.8,39600,39600,16200
0008,135054.5,39600,39600,27000
0009,121774.85,39600,39600,27000
0010,151793.55,39600,39600,30600
0011,121453.3,39600,39600,28800
0012,130427.8,39600,39600,30600
0013,122263.9,39600,39600,19800
0014,144324.9,39600,39600,27000
0015,135986.75,39600,39600,25200
0016,126648.5,39600,39600,23400
0017,126511.75,39600,39600,21600
0018,119067.95,39600,39600,25200
0019,126662.5,39600,39600,28800
0020,117014.2,39600,39600,23400
0021,135469.5,39600,39600,25200
0022,120108.34999999998,39600,39600,27000
0023,87174.3,39600,39600,16200
0024,89376.45,39600,39600,16200
0025,141232.75,39600,39600,25200
0026,117342.25,39600,39600,25200
0027,92467.4,39600,39600,19800
0028,132011.65,39600,39600,27000
0029,130330.5,39600,39600,28800
0030,144420.8,39600,39600,30600
0031,111556.5,39600,39600,27000
0032,115060.5,39600,39600,19800
0033,121578.09999999998,39600,39600,21600
0034,134485.65,39600,39600,25200
0035,116201.4,39600,39600,23400
0036,164770.2,39600,39600,34200
0037,119251.65,39600,39600,25200
0038,132629.45,39600,39600,25200
0039,116786.45,39600,39600,25200
0040,115799.1,39600,39600,25200
0041,141395.4,39600,39600,23400
0042,122604.2,39600,39600,27000
0043,161754.6,39600,39600,28800
0044,127745.09999999998,39600,39600,21600
0045,129450.95,39600,39600,19800
0046,112767,39600,39600,27000
0047,122967.3,39600,39600,27000
0048,131503.05,39600,39600,19800
0049,113255.9,39600,39600,23400
0050,119908.55,39600,39600,23400
0051,133277,39600,39600,30600
0052,133287.8,39600,39600,27000
0053,126431.2,39600,39600,23400
0054,108833.25,39600,39600,21600
0055,148761.95,39600,39600,32400
0056,109354,39600,39600,25200
0057,113211.15,39600,39600,18000
0058,108086.09999999998,39600,39600,23400
0059,143552.25,39600,39600,34200
0060,129561.3,39600,39600,28800
0061,101357.65,39600,39600,21600
0062,130078.9,39600,39600,25200
0063,111350.1,39600,39600,23400
0064,128015.4,39600,39600,27000
0065,125993.95,39600,39600,23400
0066,134723.45,39600,39600,32400
0067,120352.65,39600,39600,23400
0068,132902.5,39600,39600,27000
0069,149389.95,39600,39600,32400
0070,118511.25,39600,39600,25200
0071,116814.4,39600,39600,23400
0072,132891.45,39600,39600,25200
0073,125351.2,39600,39600,27000
0074,106934.15,39600,39600,23400
0075,111730,39600,39600,25200
0076,124365.4,39600,39600,21600
0077,110645.4,39600,39600,21600
0078,155976.75,39600,39600,25200
0079,140269.9,39600,39600,25200
0080,108531.85,39600,39600,18000
0081,109676.6,39600,39600,23400
0082,130612.4,39600,39600,23400
0083,118823.25,39600,39600,21600
0084,109968.5,39600,39600,21600
0085,100126.55,39600,39600,18000
0086,122269.2,39600,39600,25200
0087,132746,39600,39600,32400
0088,147946.8,39600,39600,28800
0089,118767.9,39600,39600,23400
0090,104471.15,39600,39600,19800
0091,114826.35,39600,39600,23400
0092,119096.2,39600,39600,21600
0093,142894,39600,39600,23400
0094,84150.35,39600,39600,12600
0095,115053.9,39600,39600,30600
0096,114561.65,39600,39600,23400
0097,127550.2,39600,39600,28800
0098,114122.95,39600,39600,27000
0099,94901.45,39600,39600,16200
0100,125621.45,39600,39600,23400
0101,130130.2,39600,39600,28800
0102,131973.45,39600,39600,30600
0103,133271.25,39600,39600,27000
0104,136796.7,39600,39600,32400
0105,101070.25,39600,39600,19800
0106,106558.45,39600,39600,23400
0107,138829.85,39600,39600,28800
0108,130931.84999999998,39600,39600,25200
0109,110054.7,39600,39600,23400
0110,115315.95,39600,39600,19800
0111,97773.7,39600,39600,23400
0112,128007.7,39600,39600,28800
0113,121783.65,39600,39600,28800
0114,116839.4,39600,39600,28800
0115,109822.15,39600,39600,23400
0116,114286.25,39600,39600,28800
0117,113341.9,39600,39600,23400
0118,131392.15,39600,39600,25200
0119,149319.25,39600,39600,28800
0120,117002.8,39600,39600,18000
0121,107090.6,39600,39600,19800
0122,113295,39600,39600,18000
0123,103193.45,39600,39600,21600
0124,117876.05,39600,39600,27000
0125,138382.05,39600,39600,23400
0126,111187,39600,39600,25200
0127,126156.95,39600,39600,23400
0128,117287.15,39600,39600,28800
0129,142480.65,39600,39600,32400
0130,116709.75,39600,39600,19800
0131,122881,39600,39600,23400
0132,129959.9,39600,39600,25200
0133,125621.25,39600,39600,28800
0134,148530.45,39600,39600,27000
0135,119075.05,39600,39600,27000
0136,112563.2,39600,39600,25200
0137,136179.75,39600,39600,23400
0138,140745.5,39600,39600,27000
0139,116149.65,39600,39600,19800
0140,108831.5,39600,39600,19800
0141,112688.1,39600,39600,21600
0142,98495.4,39600,39600,18000
0143,103844.05,39600,39600,19800
0144,118862.2,39600,39600,23400
0145,130691.84999999998,39600,39600,25200
0146,112553.5,39600,39600,23400
0147,113201.05,39600,39600,27000
0148,116859.6,39600,39600,25200
0149,105696.2,39600,39600,21600
0150,121970.7,39600,39600,23400
0151,111510.15,39600,39600,25200
0152,138795.2,39600,39600,28800
0153,154300.9,39600,39600,27000
0154,108935.75,39600,39600,19800
0155,132607.6,39600,39600,28800
0156,107364.5,39600,39600,21600
0157,95693.7,39600,39600,21600
0158,118823.95,39600,39600,30600
0159,119502.3,39600,39600,27000
0160,84904.25,39600,39600,14400
0161,128049.9,39600,39600,25200
0162,105352.3,39600,39600,23400
0163,133539.45,39600,39600,28800
0164,93496.3,39600,39600,19800
0165,113165.55,39600,39600,27000
0166,92739.25,39600,39600,19800
0167,144245.5,39600,39600,19800
0168,143898.75,39600,39600,30600
0169,112702.65,39600,39600,27000
0170,126421.9,39600,39600,23400
0171,137095.45,39600,39600,27000
0172,129475.05,39600,39600,27000
0173,89580.35,39600,39600,16200
0174,128019.45,39600,39600,27000
0175,128862.75,39600,39600,28800
0176,162005.45,39600,39600,28800
0177,130154,39600,39600,27000
0178,133253.2,39600,39600,28800
0179,116936.6,39600,39600,21600
0180,109964.35,39600,39600,27000
0181,115185.35,39600,39600,25200
0182,116394.8,39600,39600,25200
0183,121248.55,39600,39600,23400
0184,94587.95,39600,39600,18000
0185,133778.3,39600,39600,28800
0186,119714.7,39600,39600,25200
0187,145139.19999999998,39600,39600,28800
0188,121279.2,39600,39600,27000
0189,112713.05,39600,39600,23400
0190,113169.15,39600,39600,23400
0191,134133.5,39600,39600,23400
0192,131953.85,39600,39600,27000
0193,140386.5,39600,39600,34200
0194,143101.1,39600,39600,27000
0195,121478,39600,39600,18000
0196,117604.65,39600,39600,27000
0197,140931.35,39600,39600,25200
0198,119530.9,39600,39600,23400
0199,139298,39600,39600,27000
0200,143814.65,39600,39600,28800
0201,145777.8,39600,39600,28800
0202,111632.55,39600,39600,23400
0203,145571.4,39600,39600,21600
0204,104182.5,39600,39600,21600
0205,99827.8,39600,39600,18000
0206,122082.25,39600,39600,25200
0207,155505.25,39600,39600,30600
0208,134803.44999999998,39600,39600,21600
0209,123933.65,39600,39600,23400
0210,136999.7,39600,39600,32400
0211,117858.3,39600,39600,27000
0212,136201.9,39600,39600,28800
0213,123636.3,39600,39600,21600
0214,116461.75,39600,39600,25200
0215,126422.35,39600,39600,25200
0216,137176.1,39600,39600,28800
0217,103468.65,39600,39600,23400
0218,162199.75,39600,39600,30600
0219,105876.5,39600,39600,21600
0220,133008.95,39600,39600,30600
0221,104724.15,39600,39600,19800
0222,158266.75,39600,39600,36000
0223,111516.85,39600,39600,21600
0224,97868.45,39600,39600,21600
0225,94129.3,39600,39600,19800
0226,135897.1,39600,39600,25200
0227,125593.84999999998,39600,39600,21600
0228,104370.5,39600,39600,21600
0229,109220.8,39600,39600,19800
0230,132660.95,39600,39600,30600
0231,109743.75,39600,39600,25200
0232,132697.75,39600,39600,23400
0233,79687.65,39600,39600,14400
0234,114530.75,39600,39600,27000
0235,101514.5,39600,39600,21600
0236,123951.4,39600,39600,21600
0237,141052.15,39600,39600,30600
0238,129361.65,39600,39600,30600
0239,113589.8,39600,39600,23400
0240,135202.6,39600,39600,28800
0241,128669.45,39600,39600,27000
0242,111412.09999999998,39600,39600,25200
0243,76126.5,39600,39600,14400
0244,121527.05,39600,39600,27000
0245,97848.4,39600,39600,19800
0246,133059.7,39600,39600,28800
0247,140336.45,39600,39600,27000
0248,101589.05,39600,39600,23400
0249,103326.1,39600,39600,19800
0250,114775.9,39600,39600,23400
0251,118967.5,39600,39600,19800
0252,124788.25,39600,39600,30600
0253,112220.15,39600,39600,25200
0254,133391.75,39600,39600,27000
0255,137210.2,39600,39600,28800
0256,124282.9,39600,39600,23400
0257,112915.55,39600,39600,27000
0258,135727.69999999998,39600,39600,27000
0259,122569.15,39600,39600,25200
0260,127215.75,39600,39600,27000
0261,104856.2,39600,39600,21600
0262,97738.95,39600,39600,16200
0263,125652.84999999998,39600,39600,27000
0264,134868,39600,39600,23400
0265,129010.75,39600,39600,25200
0266,129965.9,39600,39600,23400
0267,82654.3,39600,39600,14400
0268,132307,39600,39600,27000
0269,116992.65,39600,39600,21600
0270,140825.5,39600,39600,27000
0271,141832.6,39600,39600,30600
0272,145718.3,39600,39600,30600
0273,132018.05,39600,39600,25200
0274,129515.95,39600,39600,18000
0275,126171.4,39600,39600,25200
0276,134629,39600,39600,25200
0277,111648.2,39600,39600,23400
0278,143666.4,39600,39600,30600
0279,105915.05,39600,39600,16200
0280,133126.65,39600,39600,25200
0281,117231.25,39600,39600,25200
0282,100791.15,39600,39600,21600
0283,149894.4,39600,39600,23400
0284,101829.1,39600,39600,18000
0285,148220,39600,39600,32400
0286,120173.09999999998,39600,39600,19800
0287,136069.85,39600,39600,27000
0288,115482.65,39600,39600,25200
0289,111043.45,39600,39600,19800
0290,130793.05,39600,39600,23400
0291,93561.2,39600,39600,19800
0292,168792.69999999995,39600,39600,32400
0293,134607.8,39600,39600,25200
0294,130433.4,39600,39600,23400
0295,134362.8,39600,39600,21600
0296,113341.6,39600,39600,23400
0297,112559.5,39600,39600,25200
0298,136500.75,39600,39600,32400
0299,83871.4,39600,39600,14400
0300,114460.7,39600,39600,28800
0301,94427.15,39600,39600,21600
0302,123222.65,39600,39600,21600
0303,97944.4,39600,39600,21600
0304,116361.8,39600,39600,27000
0305,98322.6,39600,39600,18000
0306,122676.4,39600,39600,30600
0307,122897.9,39600,39600,27000
0308,107813,39600,39600,25200
0309,122320.34999999998,39600,39600,18000
0310,143490.8,39600,39600,30600
0311,132399.45,39600,39600,25200
0312,113673.3,39600,39600,21600
0313,155900.15,39600,39600,28800
0314,106782,39600,39600,19800
0315,107366.65,39600,39600,23400
0316,128495.4,39600,39600,23400
0317,115278.25,39600,39600,23400
0318,117127,39600,39600,23400
0319,106544.84999999998,39600,39600,23400
0320,124360.3,39600,39600,25200
0321,129940.9,39600,39600,27000
0322,117600,39600,39600,27000
0323,152033.3,39600,39600,25200
0324,120026.8,39600,39600,21600
0325,110420.55,39600,39600,25200
0326,138679.35,39600,39600,25200
0327,115896,39600,39600,21600
0328,146974.5,39600,39600,27000
0329,102686.65,39600,39600,19800
0330,135238.94999999998,39600,39600,25200
0331,119235.45,39600,39600,21600
0332,134971.75,39600,39600,32400
0333,134883.44999999998,39600,39600,23400
0334,133242.65,39600,39600,27000
0335,98087.65,39600,39600,23400
0336,114702,39600,39600,23400
0337,116286.95,39600,39600,23400
0338,135707.55,39600,39600,23400
0339,118157.59999999998,39600,39600,21600
0340,126268.55,39600,39600,19800
0341,139814,39600,39600,25200
0342,132896.94999999998,39600,39600,27000
0343,122799.75,39600,39600,25200
0344,124728.65,39600,39600,27000
0345,104187.9,39600,39600,23400
0346,137452.1,39600,39600,23400
0347,123616.59999999998,39600,39600,28800
0348,119803.25,39600,39600,25200
0349,111575.75,39600,39600,23400
