Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0001,59799.95,21600s (~6 hours),16200s (~4.5 hours),10800s (~3 hours)
0002,36627.05,23400s (~6.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0003,57218.79999999999,25200s (~7 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0004,39538.5,21600s (~6 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0005,62052.7,25200s (~7 hours),19800s (~5.5 hours),7200s (~2 hours)
0006,53254.75,27000s (~7.5 hours),19800s (~5.5 hours),7200s (~2 hours)
0007,46853.04999999999,21600s (~6 hours),18000s (~5 hours),5400s (~1.5 hours)
0008,74954.65,27000s (~7.5 hours),25200s (~7 hours),9000s (~2.5 hours)
0009,47978.15,23400s (~6.5 hours),21600s (~6 hours),5400s (~1.5 hours)
0010,22610.65,21600s (~6 hours),19800s (~5.5 hours),0s
0011,35166.2,19800s (~5.5 hours),14400s (~4 hours),7200s (~2 hours)
0012,49282.85,27000s (~7.5 hours),16200s (~4.5 hours),7200s (~2 hours)
0013,47215.25,25200s (~7 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0014,77088.2,28800s (~8 hours),25200s (~7 hours),9000s (~2.5 hours)
0015,51091.5,21600s (~6 hours),18000s (~5 hours),7200s (~2 hours)
0016,73720.1,27000s (~7.5 hours),23400s (~6.5 hours),14400s (~4 hours)
0017,43433.55,21600s (~6 hours),18000s (~5 hours),7200s (~2 hours)
0018,46532.1,19800s (~5.5 hours),16200s (~4.5 hours),9000s (~2.5 hours)
0019,45254.75,25200s (~7 hours),19800s (~5.5 hours),3600s (~1 hours)
0020,47938.85,12600s (~3.5 hours),12600s (~3.5 hours),9000s (~2.5 hours)
0021,50142.1,19800s (~5.5 hours),18000s (~5 hours),10800s (~3 hours)
0022,44693.05,21600s (~6 hours),18000s (~5 hours),9000s (~2.5 hours)
0023,36680.25,16200s (~4.5 hours),14400s (~4 hours),5400s (~1.5 hours)
0024,54093.3,23400s (~6.5 hours),21600s (~6 hours),7200s (~2 hours)
0025,32613.2,23400s (~6.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0026,57905.65,27000s (~7.5 hours),25200s (~7 hours),7200s (~2 hours)
0027,61133.7,27000s (~7.5 hours),21600s (~6 hours),9000s (~2.5 hours)
0028,42159.45,27000s (~7.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0029,43323.05,25200s (~7 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0030,51152.6,21600s (~6 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0031,26574.55,25200s (~7 hours),19800s (~5.5 hours),1800s (~30 minutes)
0032,56682.35,28800s (~8 hours),21600s (~6 hours),9000s (~2.5 hours)
0033,23051.4,21600s (~6 hours),12600s (~3.5 hours),1800s (~30 minutes)
0034,44984,30600s (~8.5 hours),21600s (~6 hours),5400s (~1.5 hours)
0035,63673.7,27000s (~7.5 hours),21600s (~6 hours),10800s (~3 hours)
0036,42670.5,25200s (~7 hours),18000s (~5 hours),9000s (~2.5 hours)
0037,55905.15,30600s (~8.5 hours),23400s (~6.5 hours),7200s (~2 hours)
0038,61259.6,27000s (~7.5 hours),21600s (~6 hours),10800s (~3 hours)
0039,39658,27000s (~7.5 hours),23400s (~6.5 hours),3600s (~1 hours)
0040,31420,14400s (~4 hours),12600s (~3.5 hours),5400s (~1.5 hours)
0041,67411.15,27000s (~7.5 hours),23400s (~6.5 hours),9000s (~2.5 hours)
0042,68241.45,21600s (~6 hours),21600s (~6 hours),9000s (~2.5 hours)
0043,29466.1,21600s (~6 hours),16200s (~4.5 hours),1800s (~30 minutes)
0044,58976.1,25200s (~7 hours),23400s (~6.5 hours),9000s (~2.5 hours)
0045,40097.65,19800s (~5.5 hours),12600s (~3.5 hours),5400s (~1.5 hours)
0046,30213.3,14400s (~4 hours),10800s (~3 hours),7200s (~2 hours)
0047,29541.2,14400s (~4 hours),10800s (~3 hours),5400s (~1.5 hours)
0048,52543.5,25200s (~7 hours),21600s (~6 hours),9000s (~2.5 hours)
0049,48602.1,23400s (~6.5 hours),19800s (~5.5 hours),3600s (~1 hours)
0050,39910.15,23400s (~6.5 hours),21600s (~6 hours),3600s (~1 hours)
0051,38335.3,25200s (~7 hours),18000s (~5 hours),3600s (~1 hours)
0052,51964.25,28800s (~8 hours),21600s (~6 hours),9000s (~2.5 hours)
0053,63660.75,27000s (~7.5 hours),23400s (~6.5 hours),7200s (~2 hours)
0054,27646.55,18000s (~5 hours),14400s (~4 hours),1800s (~30 minutes)
0055,66323.2,27000s (~7.5 hours),23400s (~6.5 hours),12600s (~3.5 hours)
0056,34623.95,16200s (~4.5 hours),12600s (~3.5 hours),7200s (~2 hours)
0057,39907.5,21600s (~6 hours),19800s (~5.5 hours),3600s (~1 hours)
0058,48196.45,25200s (~7 hours),19800s (~5.5 hours),7200s (~2 hours)
0059,31608.6,18000s (~5 hours),14400s (~4 hours),3600s (~1 hours)
0060,49222.9,23400s (~6.5 hours),12600s (~3.5 hours),9000s (~2.5 hours)
0061,57684.55,25200s (~7 hours),19800s (~5.5 hours),14400s (~4 hours)
0062,34085.9,27000s (~7.5 hours),18000s (~5 hours),3600s (~1 hours)
0063,34524.9,23400s (~6.5 hours),16200s (~4.5 hours),3600s (~1 hours)
0064,34308.4,25200s (~7 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0065,54826.75,27000s (~7.5 hours),25200s (~7 hours),9000s (~2.5 hours)
0066,33385.2,21600s (~6 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0067,57555.15,21600s (~6 hours),19800s (~5.5 hours),7200s (~2 hours)
0068,28960.3,16200s (~4.5 hours),14400s (~4 hours),1800s (~30 minutes)
0069,86777,30600s (~8.5 hours),28800s (~8 hours),10800s (~3 hours)
0070,55042.149999999994,19800s (~5.5 hours),16200s (~4.5 hours),12600s (~3.5 hours)
0071,27711.95,18000s (~5 hours),14400s (~4 hours),1800s (~30 minutes)
0072,31238.35,23400s (~6.5 hours),14400s (~4 hours),5400s (~1.5 hours)
0073,42219.15,18000s (~5 hours),16200s (~4.5 hours),9000s (~2.5 hours)
0074,48492.15,28800s (~8 hours),21600s (~6 hours),9000s (~2.5 hours)
0075,47848.1,21600s (~6 hours),18000s (~5 hours),7200s (~2 hours)
0076,42607.6,21600s (~6 hours),19800s (~5.5 hours),7200s (~2 hours)
0077,64839.29999999999,21600s (~6 hours),19800s (~5.5 hours),10800s (~3 hours)
